record_id,company_name,registered_country,reg_no,lei,aum_usd_millions,incorporation_date,last_kyc_review,is_real_company,data_source
KYC000078,HSBC HOLDINGS PLC / 滙豐控股有限公司,HK,14369095,529900VEZ60PRQYDJA71,12.39,2010-01-29,2025-10-03,True,generated
KYC000079,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,HK,17247589,213800FGA8MXLMK5AZ33,5.07,2014-01-21,2025-02-01,True,generated
KYC000080,STANDARD CHARTERED PLC / 渣打集團有限公司,HK,18442773,254900GZCKFY4GAUWK48,74.86,1997-03-14,2023-08-30,True,generated
KYC000081,PING AN INSURANCE GROUP / 中國平安保險集團,HK,19789051,,2.2,1997-03-02,2024-08-12,True,generated
KYC000082,STANDARD CHARTERED PLC / 渣打集團有限公司,CN,CN-5221,2138002PZF2AGVNFLI86,361.8,1995-01-08,2023-03-09,True,generated
KYC000083,AIA GROUP LIMITED / 友邦保險控股有限公司,SG,201813841,529900V8H8WL6W2FV057,2.95,2005-07-09,2022-05-30,True,generated
KYC000084,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,VG,VG496582,213800IWADLY9ZHL7G82,27.94,2010-01-18,2024-08-28,True,generated
KYC000085,AIA GROUP LIMITED / 友邦保險控股有限公司,HK,11230712,5299006M0GBJ4IHWN113,78.76,2016-10-05,2025-10-04,True,generated
KYC000086,AIA GROUP LIMITED / 友邦保險控股有限公司,HK,15881790,254900FVF8H5YTY7UF12,9.34,1999-01-17,2025-08-01,True,generated
KYC000087,STANDARD CHARTERED PLC / 渣打集團有限公司,HK,1239115,,23.46,1990-05-26,2024-09-28,True,generated
KYC000088,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,HK,14726695,377900N2T8F5KVB3MB26,2.14,2010-05-18,2023-12-14,True,generated
KYC000089,AIA GROUP LIMITED / 友邦保險控股有限公司,CN,CN-4149,25490017HDQ8NE99W959,102.83,1996-11-02,2025-10-30,True,generated
KYC000090,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,HK,7191082,5299006AJ2A4WN4LLH74,25.96,1994-12-24,2024-07-09,True,generated
KYC000091,HSBC HOLDINGS PLC / 滙豐控股有限公司,HK,3169406,529900FL85X35DGXJQ20,349.42,1996-01-12,2025-04-01,True,generated
KYC000092,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,HK,1545984,,5.05,2013-10-27,2025-09-17,True,generated
KYC000093,AIA GROUP LIMITED / 友邦保險控股有限公司,VG,VG140952,25490091JJI87KHDHY82,42.38,2015-08-05,2024-10-03,True,generated
KYC000094,HSBC HOLDINGS PLC / 滙豐控股有限公司,VG,VG344591,254900NZDFSCU6J60J05,1118.18,1999-01-29,2024-02-06,True,generated
KYC000095,PING AN INSURANCE GROUP / 中國平安保險集團,VG,VG351602,969500PR9R3WZ452XI60,8.82,2021-10-08,2024-08-06,True,generated
KYC000096,HSBC HOLDINGS PLC / 滙豐控股有限公司,KY,KY231104,377900BBAD6DKWGNK057,7.62,1994-10-11,2025-08-26,True,generated
KYC000097,BANK OF CHINA LIMITED / 中國銀行股份有限公司,HK,3750482,969500DRY12J0DNO2G69,133.69,2011-12-31,2025-07-20,True,generated
KYC000098,AIA GROUP LIMITED / 友邦保險控股有限公司,VG,VG659648,2549002K4I12OP4L2X45,123.35,2015-12-13,2025-06-10,True,generated
KYC000099,AIA GROUP LIMITED / 友邦保險控股有限公司,KY,KY171665,254900X5GLZVFTQB6M42,37.21,1995-04-09,2023-04-10,True,generated
KYC000100,HANG SENG BANK LIMITED / 恒生銀行有限公司,HK,13001569,2138007JFHU5GFTUEF59,66.48,2023-02-19,2024-11-30,True,generated
KYC000101,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,HK,17751022,2138002GY2TYG6EADK66,113.22,1998-01-09,2025-07-21,True,generated
KYC000102,TENCENT HOLDINGS LIMITED / 騰訊控股有限公司,HK,12968511,2549005GLHNHND15C803,216.21,2016-04-19,2024-12-12,True,generated
KYC000103,TENCENT HOLDINGS LIMITED / 騰訊控股有限公司,HK,12890988,,11.85,2017-09-21,2025-04-28,True,generated
KYC000104,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,KY,KY520165,37790031E8AQ916C4424,23.52,1992-09-17,2024-09-14,True,generated
KYC000105,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,VG,VG108185,2138005SOVTB0HLOCL05,20.63,2007-11-06,2022-07-26,True,generated
KYC000106,STANDARD CHARTERED PLC / 渣打集團有限公司,HK,4607978,,23.5,1998-06-03,2023-09-24,True,generated
KYC000107,HANG SENG BANK LIMITED / 恒生銀行有限公司,HK,17651645,,94.94,2004-08-28,2025-09-11,True,generated
KYC000108,TENCENT HOLDINGS LIMITED / 騰訊控股有限公司,VG,VG393980,9695009HISKVRQ1NJ765,20.44,2017-12-25,2025-01-17,True,generated
KYC000109,HSBC HOLDINGS PLC / 滙豐控股有限公司,SG,200654189,,37.95,2018-01-13,2025-07-05,True,generated
KYC000110,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,VG,VG265287,213800147CKSRCPD2J80,191.82,2013-08-21,2023-02-27,True,generated
KYC000111,BANK OF CHINA LIMITED / 中國銀行股份有限公司,HK,16546371,254900H49LSMAZ5WN904,120.08,2010-08-05,2023-09-25,True,generated
KYC000112,AIA GROUP LIMITED / 友邦保險控股有限公司,VG,VG551318,2138002YHMNSKTAWIE60,117.16,1997-12-27,2024-07-23,True,generated
KYC000113,BANK OF CHINA LIMITED / 中國銀行股份有限公司,SG,202020165,377900IREXNV3TR2MY70,159.86,2021-01-06,2024-03-09,True,generated
KYC000114,AIA GROUP LIMITED / 友邦保險控股有限公司,VG,VG911111,5299006O4LH4N8VCPP91,11.08,2002-05-10,2025-09-03,True,generated
KYC000115,STANDARD CHARTERED PLC / 渣打集團有限公司,CN,CN-8662,377900WE7UCCVDFNRL30,430.34,2014-12-30,2024-08-15,True,generated
KYC000116,HANG SENG BANK LIMITED / 恒生銀行有限公司,KY,KY682746,969500UTTCHECG1E8U39,27.98,2008-01-28,2025-07-03,True,generated
KYC000117,AIA GROUP LIMITED / 友邦保險控股有限公司,HK,9191169,377900GE81MO5VGQOE90,20.44,2002-12-05,2023-05-21,True,generated
KYC000118,HSBC HOLDINGS PLC / 滙豐控股有限公司,CN,CN-6554,2549002JLFKPJGR4OI87,18.0,2006-08-23,2025-11-29,True,generated
KYC000119,BANK OF CHINA LIMITED / 中國銀行股份有限公司,HK,7623458,969500E1M3TLCQIZD404,0.93,1999-02-04,2022-06-18,True,generated
KYC000120,TENCENT HOLDINGS LIMITED / 騰訊控股有限公司,HK,13069741,254900V74IQMXXOSUZ16,26.99,1992-05-02,2023-11-01,True,generated
KYC000121,BANK OF CHINA LIMITED / 中國銀行股份有限公司,HK,1148333,,80.94,2022-08-07,2025-08-12,True,generated
KYC000122,TENCENT HOLDINGS LIMITED / 騰訊控股有限公司,HK,15340776,529900NU62KAYV5J8U02,7.25,2000-10-06,2024-08-15,True,generated
KYC000123,AIA GROUP LIMITED / 友邦保險控股有限公司,KY,KY872100,529900INUOG2WH3MIO00,12.67,2007-10-02,2025-07-15,True,generated
KYC000124,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,VG,VG941281,377900ZBUW1R4OSGMA00,7.46,2011-08-06,2025-05-31,True,generated
KYC000125,PING AN INSURANCE GROUP / 中國平安保險集團,SG,202073346,3779007JCW3G0949NX89,18.36,2011-09-16,2024-09-24,True,generated
KYC000126,HSBC HOLDINGS PLC / 滙豐控股有限公司,HK,2088687,213800NF414Q2IXA3S48,16.5,2004-08-09,2025-11-20,True,generated
KYC000127,BANK OF CHINA LIMITED / 中國銀行股份有限公司,HK,13588814,,2.44,2001-08-02,2025-07-11,True,generated
KYC000128,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,CN,CN-4088,969500T85FIZCW4W3V73,62.25,2017-04-06,2023-02-15,True,generated
KYC000129,HANG SENG BANK LIMITED / 恒生銀行有限公司,HK,19700731,377900JMXMB2RDE43R01,71.41,2023-08-16,2024-12-19,True,generated
KYC000130,AIA GROUP LIMITED / 友邦保險控股有限公司,HK,1883455,3779008ET0A6VGMREY50,26.97,2023-09-20,2024-10-10,True,generated
KYC000131,BANK OF CHINA LIMITED / 中國銀行股份有限公司,KY,KY958131,2549004UXCS5I5O33K68,103.44,2021-09-14,2020-03-25,True,generated
KYC000132,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,KY,KY561013,254900BPLI4GHDXEB965,3.97,1995-06-13,2025-05-14,True,generated
KYC000133,TENCENT HOLDINGS LIMITED / 騰訊控股有限公司,HK,10868090,3779003N521BI5QH5F24,31.14,2020-02-29,2025-04-09,True,generated
KYC000134,TENCENT HOLDINGS LIMITED / 騰訊控股有限公司,VG,VG234310,2138003P593T79YFC972,88.33,2001-09-11,2023-05-19,True,generated
KYC000135,PING AN INSURANCE GROUP / 中國平安保險集團,HK,19224587,969500EKY4CKIW9DAK68,636.32,2015-11-10,2025-09-09,True,generated
KYC000136,STANDARD CHARTERED PLC / 渣打集團有限公司,HK,8412453,,63.48,2007-05-04,2025-09-01,True,generated
KYC000137,STANDARD CHARTERED PLC / 渣打集團有限公司,VG,VG856455,,72.26,1996-05-26,2023-11-26,True,generated
KYC000138,PING AN INSURANCE GROUP / 中國平安保險集團,VG,VG965896,2549009CKPO7TZURFQ22,110.85,2007-12-27,2025-10-31,True,generated
KYC000139,HSBC HOLDINGS PLC / 滙豐控股有限公司,HK,12793737,,77.18,1992-07-20,2025-07-05,True,generated
KYC000140,HANG SENG BANK LIMITED / 恒生銀行有限公司,CN,CN-9157,529900GC15SRZGRCUO40,25.55,1996-06-02,2024-11-08,True,generated
KYC000141,STANDARD CHARTERED PLC / 渣打集團有限公司,KY,KY954866,,13.65,2002-04-09,2023-11-01,True,generated
KYC000142,AIA GROUP LIMITED / 友邦保險控股有限公司,HK,2442100,,42.27,2017-10-04,2025-12-02,True,generated
KYC000143,PING AN INSURANCE GROUP / 中國平安保險集團,HK,5775684,,119.35,1992-02-06,2024-08-12,True,generated
KYC000144,AIA GROUP LIMITED / 友邦保險控股有限公司,HK,7171322,,66.8,2018-11-28,2025-07-16,True,generated
KYC000145,AIA GROUP LIMITED / 友邦保險控股有限公司,HK,15038318,254900R54R2UMPVRGH93,327.27,2022-07-14,2024-10-17,True,generated
KYC000146,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,VG,VG306886,969500H41HR1HTHONE93,482.35,1994-04-03,2025-02-16,True,generated
KYC000147,AIA GROUP LIMITED / 友邦保險控股有限公司,HK,12412186,5299003PFK7YAWHDS480,88.14,2014-01-14,2025-11-15,True,generated
KYC000148,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,HK,12818241,5299000APXBERXT9BB13,58.09,2010-11-06,2025-01-28,True,generated
KYC000149,HSBC HOLDINGS PLC / 滙豐控股有限公司,CN,CN-4843,96950089CWRZTZK9OG62,21.74,2001-10-10,2025-02-14,True,generated
KYC000150,TENCENT HOLDINGS LIMITED / 騰訊控股有限公司,HK,11275091,254900XTR6J7E6K5UA75,37.33,2000-05-27,2025-12-03,True,generated
KYC000151,PING AN INSURANCE GROUP / 中國平安保險集團,HK,9540716,,1.24,2013-09-29,2025-02-14,True,generated
KYC000152,PING AN INSURANCE GROUP / 中國平安保險集團,HK,6820179,,150.33,2011-04-04,2025-08-10,True,generated
KYC000153,TENCENT HOLDINGS LIMITED / 騰訊控股有限公司,HK,19640584,9695009Z4NN2H1N8BN26,39.71,1996-09-29,2024-02-20,True,generated
KYC000154,TENCENT HOLDINGS LIMITED / 騰訊控股有限公司,CN,CN-3174,377900T64QY7JX79NI39,28.17,1991-11-26,2025-08-01,True,generated
KYC000155,TENCENT HOLDINGS LIMITED / 騰訊控股有限公司,HK,12057472,213800ZTLSVWY82NGF28,76.71,2003-12-19,2024-04-04,True,generated
KYC000156,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,VG,VG384162,2549009H5UW7JP7AB677,108.61,2010-06-18,2025-07-07,True,generated
KYC000157,STANDARD CHARTERED PLC / 渣打集團有限公司,HK,11888018,5299000XX50K160QJP88,6.86,2015-01-09,2024-09-23,True,generated
KYC000158,STANDARD CHARTERED PLC / 渣打集團有限公司,KY,KY713767,254900RXWQL7UFEX9717,49.58,1999-12-09,2025-08-24,True,generated
KYC000159,HSBC HOLDINGS PLC / 滙豐控股有限公司,HK,7521198,969500OTYDJ3ZSNDPZ94,8.02,1999-04-23,2025-09-20,True,generated
KYC000160,PING AN INSURANCE GROUP / 中國平安保險集團,VG,VG829756,,164.81,2001-02-15,2021-03-12,True,generated
KYC000161,BANK OF CHINA LIMITED / 中國銀行股份有限公司,HK,4284080,,2.37,2021-07-24,2025-11-25,True,generated
KYC000162,PING AN INSURANCE GROUP / 中國平安保險集團,VG,VG531886,213800PQVLX2IILFBF48,4.62,2006-01-23,2025-11-18,True,generated
KYC000163,STANDARD CHARTERED PLC / 渣打集團有限公司,KY,KY544435,213800I11AG9U8IQFR65,23.03,2021-07-29,2025-02-11,True,generated
KYC000164,PING AN INSURANCE GROUP / 中國平安保險集團,VG,VG323609,,38.61,2024-11-04,2024-02-09,True,generated
KYC000165,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,HK,1177642,,83.36,1991-11-28,2025-10-14,True,generated
KYC000166,PING AN INSURANCE GROUP / 中國平安保險集團,VG,VG988135,,6.88,1990-10-27,2025-06-19,True,generated
KYC000167,BANK OF CHINA LIMITED / 中國銀行股份有限公司,HK,12242660,213800LP1ST3EZACTI42,23.64,2008-08-07,2024-07-23,True,generated
KYC000168,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,VG,VG576511,529900MKN2GGVO5J1861,36.4,2018-09-24,2025-10-09,True,generated
KYC000169,HSBC HOLDINGS PLC / 滙豐控股有限公司,CN,CN-4466,377900KWC6Z409S0JR48,87.21,2014-11-12,2025-06-19,True,generated
KYC000170,STANDARD CHARTERED PLC / 渣打集團有限公司,KY,KY705431,2549003JYNCY5M89KG59,1.69,2006-04-23,2025-08-04,True,generated
KYC000171,STANDARD CHARTERED PLC / 渣打集團有限公司,KY,KY666506,377900FNMOS2A7M9ZU47,12.95,1995-03-24,2025-10-09,True,generated
KYC000172,AIA GROUP LIMITED / 友邦保險控股有限公司,HK,9096134,9695003JHS23KO43QY59,30.37,2020-12-12,2025-02-17,True,generated
KYC000173,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,HK,12176270,37790027VVBMN6VQBG78,19.04,2012-01-16,2025-05-19,True,generated
KYC000174,BANK OF CHINA LIMITED / 中國銀行股份有限公司,CN,CN-2584,,10.65,2019-01-03,2023-10-22,True,generated
KYC000175,HSBC HOLDINGS PLC / 滙豐控股有限公司,VG,VG700853,969500YY18V6EHMXGQ46,10.65,2018-11-22,2025-07-15,True,generated
KYC000176,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,SG,201934317,,85.2,2003-12-29,2025-04-30,True,generated
KYC000177,PING AN INSURANCE GROUP / 中國平安保險集團,HK,3217077,969500DLPKYYC8WY1G54,17.17,2002-03-30,2025-10-28,True,generated
KYC000178,STANDARD CHARTERED PLC / 渣打集團有限公司,HK,16297162,969500QJOFHHKTY31C89,10.52,1991-09-18,2023-12-26,True,generated
KYC000179,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,HK,7027572,377900VV6ODF9OX3GK83,4.88,1993-02-08,2023-08-10,True,generated
KYC000180,HSBC HOLDINGS PLC / 滙豐控股有限公司,VG,VG790693,969500E9Q9O2IH14OZ15,44.67,2019-07-26,2024-01-31,True,generated
KYC000181,PING AN INSURANCE GROUP / 中國平安保險集團,HK,1700318,,952.03,2000-01-28,2025-03-28,True,generated
